nothing,bug,vcl
,gui: Show device completion in bytes,
,Symlink/file replacement doesn't work properly,
,2016-06-09 16:48:18: Joining relay session (BEP/relay): Incorrect response code 1: not found,
,"fs regression: spurious ""insufficient space"" in folders",
,feature request. Partial backup options.,
,Non-DNS-like computer name fails creation of HTTPS certificate,
,Local sync,
,Null Pointer Error: unexpected fault address 0x0,
,Adding/updating pending folders is inefficient,
,files & folders not updating,
,"Remote ""cloud storage"" support for folders",
,syncthing -upgrade not working on armv6 (maybe just raspberry pi?),
,Sharing receive encrypted folder as receive encrypted with yet another device creates conflicts,
,updating files instead of uploading them again when changing metadata,
,Maximum amount of peer,
,"when i set username and password , it crashed",
,config.xml no longer created on first run,
,automatic acceptance of syncs,
,High performance mode,
,"Impossible to edit folder with path ""/""",
,Syncing fails with 'A required privilege is not held by the client' on Windows with symlinks,
,Syncing stuck at 76% on one side,
,lib/model: TestDeregister* tests are bad,
,"Discovery should announce v4 and v6 addresses, preferably over the relevant protocols itself",
,Executable files edited on Windows should retain execute bit on Unixes,
,Verify that os.Rename works on read-only files on Windows,
,"gui shows ""In Sync"", error shows ""unexpected EOF""",
,panic: deadlock detected (not tls.Close()),
,syncthing does not work as automatic start in the centos6,
,Folder listing should be a link to open in [OS] Explorer,
,"Can no-longer connect after Modifying Settings (""Connected to myself - should not happen"")",
,"Add button ""save&restart""...",
,"Rename ""Add Remote Device"" to ""Connect to Remote Device""?",
,Mac OSx external HDD issue.,
,macOS with APFS filesystem - disk free space issue,
,Minimum free disk space should be configurable in fractional percentages,
,syncthing run via systemd service crashes and does not restart when the database file cannot be opened,
,Doesn't connect when multiple remote devices are using the same relay,
,SyncThing substancially reduces battery life on large folders (Windows),
,Wrong dialog opens for Edit folder,
,rsync/delta transfer,
,Missing build instructions,
,Sync Read-Only Master (Windows) to Linux NAS (QNAP Linux),
,Fix Repository path overflow,
,Restart killed syncthing,
,Web GUI lockups when sending data on limited bandwidth,
,Syncthing has Problems when files are renamend from upper case to lower case.,
,Erroneously inherited ignore patterns,
,(wrong project),
,"GUI contains random ""é"" at the bottom left",
,Hi system wait times with IO. Many file operations to index* and temp-index-sorter*,
,Symlinks are ignored,
,"Announcement data should be timed out, not used forever",
,fatal error: runtime: cannot map pages in arena address space,
,"""Override changes"" button causes line break",
,syncthing uses a lot of CPU,
,Fsync errors should not be reported to the console,
,KCP gets confused which side it's on,
,"""No availabile source device"" - sync is stuck",
,"Turkish translation, willing to help",
,"Don't show ignored files in the ""global changes"" list",
,German Localisation - Missing Folder Names,
,"What does ""upgrade unsupported"" mean? It's very vague and confusing and concerning.",
,RFE: show defaults in gui,
,"Will syncthing do the right thing for leap seconds, etc.?",
,Folder escape via versioning symlinks,
,"Reveal, and offer control over, what ports Syncthing attempts to communicate on",
,https://data.syncthing.net/ is publishing somebody's non-aggregated information,
,api key by default?,
,Syncthing crashes,
,"""Nightly"" release channel",
,"In 0.11.1 button ""about"" freeze the page of syncthing",
,unplugging a removal drive should not mass delete everything in a share,
,panic: invalid memory address or nil pointer dereference,
,[regression] Regular Spikes in CPU Usage,
,Global discovery not reconnecting when DNS server was not available,
,Remove sub-second precision from the REST API rest/stats/device.,
,Add ItemFinished event,
,Close the CMD window faster when using -no-console in Windows,
,"""no buffer space available"" most prominent stdout entry",
,Not possible to listen on randomly chosen port,
,FR: Better version naming,
,REST API collection inconsistencies,
,Renaming during sync causes problems v0.10.4,
,Apparent lockup writing log output on Windows,
,"Support ""command"" authentication mode",
,Data requests block adding new folder,
,Deleting a folder that contains ignored files/folder break sync,
,Bump quic-go for RFC9000 support,
,Provide a way to preset GUI credentials with password hashing,
,Improve LDAP authentication,
,Infinite .old directories,
,gui: Editing a device duplicates it on the folder,
,Direction of Download/Upload in remote nodes is ambiguous,
,"make ""Reduced by ignore patterns"" label act like ""editIgnoresButton""",
,Dose not allow duplicate sync !!,
,Fast connect to new devices following config update,
,Revert Local Changes red button does not work correctly,
,Syncing 101%,
,"Syncthing 1.14.0 crashes with error ""Symbol not found: _clock_gettime"" starting on OSX 10.10.5",
,Adding system tray or menu bar,
,sync file event notify,
,Pause should be permanent,
,Grandparent proof syncthing?,
,"v1.18.2 broken on OpenBSD/Illumos/Solaris, linked against nonexistent DSO - ""Cannot find /lib64/ld-linux-x86-64.so.2""",
,Scan interval of 0 should disable scanner,
,API does not accept E notation in JSON,
,"ice: Failed service '(main.serviceFunc)(0x84e0270)' (1.000000 failures of 5.000000), restarting: true, error: leveldb/table: corruption on data-block (pos=630817): checksum mismatch",
,description of protocol?,
,Transfer rates are broken,
,"Problem when syncing files with ""ignore patterns"" used.",
,Marshalling of NodeID,
,Tests not passing on i686?,
,Syncthing not distinguishing DOS 8.3 aliases on Windows,
,Don't ask user to create new issue if corrupted database causes panic,
,"Can the relay service be opened and organized? Individuals voluntarily join this, similar to syncthing relay service",
,tcp:: or quic:: fail to bind 22000 at all if only one of ipv4 or ipv6 is enabled,
,Relays used when on local network.,
,Staggered File Versioning custom Folder,
,[Feature] Add Only folder,
,Local discovery of 5 nodes only happens in one node,
,Database GC can block for a long time,
,support Sync about File or directory owners and Groups,
,Doesn't work with large dirs - runtime/cgo: pthread_create failed: Resource temporarily unavailable,
,Disabling relays is ignored,
,ignore pattern exclusion causes CPU hog with large subtrees,
,Files in .stversions should keep their extension,
,File versioning across drives,
,Support for Firefox OS,
,Changing folder type from receive encrypted to a different type corrupts the database,
,Version 0.12.9 Windows: panic: runtime error: invalid memory address or nil pointer dereference,
,".stignore: support !(?) combination, and somepattern/ to match only directories",
,QR and hash containing both node ID and shared repos,
,"stdiscosrv mipsle report ""out of memory""",
,Hide Encrypted data on untrusted devices,
,Kobo - Cannot start GUI,
,Permission issue with docker (stat: permission denied although it's possible),
,Can't set username password from the UI,
,"Patterns with terminal slash (e.g., ""dir/"") do not ignore directory contents",
,GUI authentication using LDAP,
,Version output is not always the first log line,
,unknown device(v0.14.39),
,All Files where doubled,
,Add ignoreCreate folder setting,
,"syncthing causes whole system to be really unresponsive when using ""Watch for changes"" on FreeBSD (FreeNAS)",
,Folder not syncing fully....,
,Restore sequential numbering of event IDs,
,Not exposed string for translation,
,Database schema from the future should be rejected,
,Error status should take precedence over Local Additions,
,Web GUI: Out of sync item list is messed up in Firefox 30,
,Transferring many small files potential improvement,
,Limitation of GUI Authentication attempt times,
,Can't disable Anonymous Usage Reporting in Syncthing Android v0.9.15,
,Constant crash on macOS Sierra beta 4 with Syncthing 0.14.3,
,Which version of Windows are supported for v0.12.5? how about v0.12.4 and before?,
,UPnP doesn't find some devices,
,"Improve clarity of ""unexpected EOF"" error message",
,Multi Segment File Transfer,
